r_mean,g_mean,b_mean,r_std,g_std,b_std,brightness,contrast,saturation,warmth,dominant_channel,filename,genre_principal,year,artist
0.4233882,0.3931035,0.32732725,0.2659256,0.25578266,0.2351322,0.39466012,0.25242317,0.2550909,0.09606096,0,Rococo/william-hogarth_central-panel-of-the-altar-triptych-w-st-nicholas-bristol.jpg,Rococo,,william hogarth
0.50847626,0.61615777,0.68300235,0.16457124,0.18384486,0.17705545,0.5915813,0.17361033,0.27802086,-0.1745261,2,Realism/isaac-levitan_view-of-nizhniy-novgorod.jpg,Realism,,isaac levitan
0.76201653,0.732948,0.6200193,0.24034047,0.24135974,0.276539,0.7287656,0.2442109,0.24507283,0.14199722,0,Art_Nouveau_Modern/raphael-kirchner_marionettes-3.jpg,Art Nouveau Modern,,raphael kirchner
0.55322653,0.55598384,0.5300073,0.3005414,0.27326894,0.27511364,0.5521981,0.27241156,0.28394514,0.023219228,1,Abstract_Expressionism/helen-frankenthaler_acres-1959.jpg,Abstract Expressionism,1959.0,helen frankenthaler
0.2896353,0.21775119,0.15662795,0.18819146,0.15437132,0.09045788,0.2322765,0.14331622,0.43387806,0.13300735,0,Romanticism/fyodor-bronnikov_portrait-of-a-girl-evdokia-kuznetsova-1842.jpg,Romanticism,1842.0,fyodor bronnikov
0.60467625,0.50934416,0.44519094,0.20561713,0.213706,0.20335779,0.530535,0.20951675,0.29554868,0.15948531,0,Baroque/gian-lorenzo-bernini_st-longinus(1).jpg,Baroque,,gian lorenzo bernini
0.47091952,0.36328053,0.33074903,0.199416,0.18000674,0.15910593,0.391756,0.17819358,0.28823334,0.14017048,0,Northern_Renaissance/hans-holbein-the-younger_portrait-of-philipp-melanchthon.jpg,Northern Renaissance,,hans holbein the younger
0.113519415,0.1183242,0.10375284,0.06570198,0.06590466,0.06272617,0.11522643,0.06541809,0.1403445,0.009766579,1,Abstract_Expressionism/sam-francis_indigo-wood-1982.jpg,Abstract Expressionism,1982.0,sam francis
0.6076909,0.5725576,0.5416626,0.26897687,0.28970534,0.2896272,0.5795405,0.28268248,0.15482284,0.0660283,0,Realism/aleksey-savrasov_bonfire-of-the-river.jpg,Realism,,aleksey savrasov
0.56074893,0.43922457,0.23617399,0.26651725,0.2586941,0.29283097,0.45241255,0.238704,0.6238239,0.32457495,0,Naive_Art_Primitivism/william-h.-johnson_farm-family-1940.jpg,Naive Art Primitivism,1940.0,william h. johnson
